species_orig,species,lifestage,movement_type,location_habitat,parameter,movement_area_km2,linear_dist_orig,linear_dist_km,linear_dist_calc,Source
Acanthurus blochii,Acanthurus blochii,,home range (spawning),Palau (outer barrier reef slope) NA,Maximum NA,NA,>1.5,1.5,,Colin (2012)
Acanthurus blochii,Acanthurus blochii,,home range,"Kealakekua Bay, Hawai'i (fringing reef slope) PAT",Maximum 7,NA,<0.5 MFF,0.5,MFF,Meyer et al. (2010a)
Acanthurus chirugus,Acanthurus chirugus,,home range,"Martinique, West Indies (coral reef) AAT, TMR",Range (KUD95) 2,0.0279855,,0.188765053,,Garcia et al. (2011)
Acanthurus chirugus,Acanthurus chirugus,,home range,"Martinique, West Indies (coral reef) AAT, TMR",Mean (SD) (KUD95) 2,0.027986,0.0.060 Circle,0.06,Circle,Garcia et al. (2011)
Acanthurus lineatus,Acanthurus lineatus,,home range (including spawning),American Samoa (reef crest) UO,Maximum NA,NA,0.1,0.1,,Craig (1996)
Acanthurus lineatus,Acanthurus lineatus,,home range (including nightime resting and spawning sites),American Samoa (reef crest) UO,Maximum NA,NA,0.4 Actual,0.4, Actual,Craig et al. (1997)
Acanthurus nigrofuscus,Acanthurus nigrofuscus,,home range (spawning),Palau (outer barrier reef slope) NA,Maximum NA,NA,0.1-0.2,0.15,,Colin (2012)
Acanthurus nigrofuscus,Acanthurus nigrofuscus,,"home range (nocturnal shelters, feeding and spawning sites)","Gulf of Aqaba, Red Sea (fringing and patch reefs) TMR, UO","Maximum 68, 1000s",NA,1.5,1.5,,Mazeroll & Montgomery (1995)
Ctenochaetus striatus,Ctenochaetus striatus,,home range (feeding),"Kimbe Bay, Papua New Guinea (steep%hyphen%walled platform reefs) TMR",Maximum 406,NA,0.013,0.013,,Claydon et al.(2012)
Ctenochaetus striatus,Ctenochaetus striatus,,home range (spawning),"Kimbe Bay, Papua New Guinea (steep%hyphen%walled platform reefs) TMR",Range 97,NA,0.002-0.291,0.1465,,Claydon et al.(2012)
Ctenochaetus striatus,Ctenochaetus striatus,,home range (spawning),"Kimbe Bay, Papua New Guinea (steep%hyphen%walled platform reefs) TMR",Mean 97,NA,0.058,0.058,,Claydon et al.(2012)
Ctenochaetus striatus,Ctenochaetus striatus,,home range (spawning),Palau (outer barrier reef slope) NA,Maximum NA,NA,0.1-0.2,0.15,,Colin (2012)
Ctenochaetus striatus,Ctenochaetus striatus,,home range,"South Sinai, Red Sea (patch reefs) UO",Range 11,0.000011,0.003-0.005 Square,0.004,Square,Krone et al. (2008)
Ctenochaetus striatus,Ctenochaetus striatus,,home range,"South Sinai, Red Sea (patch reefs) UO",Mean (SD) 11,0.000012,0.004 Square,0.004,Square,Krone et al. (2008)
Naso hexacanthus,Naso hexacanthus,,home range,"Kealakekua Bay, Hawai'i (fringing reef slope) PAT",Maximum 5,NA,3.8 MFF,3.8,MFF,Meyer et al. (2010a)
Naso lituratus,Naso lituratus,,home range,"Kealakekua Bay, Hawai'i (fringing reef slope) PAT",Most (75%) 4,NA,<2.1 MFF,2.1,MFF,Meyer et al. (2010a)
Naso  lituratus,Naso  lituratus,,home range,"Guam (shallow reef flat to deeper outer reef slope) PAT, AAT",Mean (SD)  (KUD95) 8,0.0683,,0.294893643,,Marshell et al. (2011)
Naso  lituratus,Naso  lituratus,,home range,"Guam (shallow reef flat to deeper outer reef slope) PAT, AAT",Range 8,NA,0.123-0.474 Actual,0.2985, Actual,Marshell et al. (2011)
Naso  unicornis,Naso  unicornis,,home range,"Guam (shallow reef flat to deeper outer reef slope) PAT, AAT ",Mean (SD) (KUD95) 7,0.0321,,0.202165747,,Marshell et al. (2011)
Naso  unicornis,Naso  unicornis,,home range,"Guam (shallow reef flat to deeper outer reef slope) PAT, AAT ",Range 7,NA,0.024-0.475 Actual,0.2495, Actual,Marshell et al. (2011)
