"stockid","B0_scalar","r","sigmaP","biomass_max","p","B0","bmsy","fmsy","msy"
"ACADRED2J3K",0.460321046585346,1.19618782617405,0.168811149722402,1060000,0.2,487940.309380466,196092.266822783,0.996823188478371,195469.318650238
"ACADRED3LNO-UT12",0.656250184820985,1.15117539241781,0.239069826119617,322000,0.2,211312.559512357,84921.77835341,0.959312827014839,81466.5512673373
"ACADREDGOMGB",0.612084122888463,0.01518960052747,0.0189729620122037,1968921.660152,0.2,1205145.68739023,484321.022774496,0.0126580004395583,6130.5357191669
"ACADREDUT3",0.449369217961946,1.02597927205233,0.247154437956543,209000,0.2,93918.1665540466,37743.6047429779,0.854982726710274,32270.130099026
"ACMACKSARG",1.27588093555488,0.0935804083317764,0.0584862713978772,211000,0.2,269210.87740208,108189.813770769,0.0779836736098137,8437.03912500617
"AFLONCH",0.771136323211447,0.104560002853679,0.0138175530532393,47900,0.2,36937.4298818283,14844.3246374374,0.0871333357113995,1293.43552204283
"ALBAIO",0.636987432769572,0.0250440818289497,0.0176379399234569,2449652.74297521,0.2,1560398.01192472,627088.964411619,0.0208700681907915,13087.3894489633
"ALBAMED",0.999732539254562,0.29539698328308,0.00711544703999769,331000,0.2,330911.47049326,132985.898314228,0.2461641527359,32736.3609843445
"ALBANATL",1.17829751993417,0.101408002461476,0.00579637735462552,923000,0.2,1087568.61089924,437069.432749501,0.0845066687178962,36935.2817600809
"ALBANPAC",1.07280458220323,0.233018852972288,0.023244509868289,1210000,0.2,1298093.54446591,521674.681900201,0.194182377476907,101300.03000089
"ALBASATL",1.0783756458116,0.174551135326375,0.00836556822554472,398000,0.2,429193.507033015,172483.244531658,0.145459279438646,25089.2884648148
"ALBASPAC",0.71671763011167,0.0365371666996447,0.0292798051904616,4783311.96153572,0.2,3428284.01315668,1377750.45539026,0.0304476389163706,41949.2483825877
"ALPLAICBSAI",1.60396620932918,0.0414960464529664,0.0204379246158233,766000,0.2,1228638.11634615,493762.103084069,0.0345800387108054,17074.3126385758
"ALSKABSAI",1.01655882223737,0.0915659754141885,0.0226647471904561,6e+05,0.2,609935.293342423,245119.314775601,0.0763049795118237,18703.8242919045
"AMPL23K",0.276794407308592,0.0986289227645919,0.0912618096315741,332000,0.2,91895.7432264526,36930.8381664949,0.0821907689704932,3035.37398762906
"AMPL4T",0.0189719130665851,0.0164823241682731,0.0444835836809193,918940.783018703,0.2,17434.0646487705,7006.35957142591,0.0137352701402276,96.234241413104
"AMPL4VWX",1.16765307308347,0.143018718796207,0.125280437606937,97566.5522711215,0.2,113923.884589534,45783.4541335253,0.119182265663506,5456.57579353474
"AMPL5YZ",0.664777540600388,0.173336137636977,0.0420978326662903,101016.543400421,0.2,67153.5292816842,26987.4973000596,0.144446781364148,3898.25712206723
"ANCHIXa",1.00793517724258,1.02464910478089,0.321503161323699,41119.5349605967,0.2,41445.8257586416,16656.1478261002,0.853874253984078,14222.2557992598
"ANCHMEDGSA1",0.612904551494318,0.335122412061644,0.0991581530063041,5644.74808421651,0.2,3459.69179285513,1390.3725376379,0.279268676718037,388.287498731235
"ANCHMEDGSA16",0.995438135030704,1.05296311852498,0.0963381093416887,14700,0.2,14632.9405849514,5880.65063374138,0.877469265437483,5160.09019188352
"ANCHMEDGSA17-18",0.386281519981032,0.0493763840483854,0.0776177641206831,2680000,0.2,1035234.47354917,416037.516697678,0.0411469867069878,17118.6901691676
"ANCHMEDGSA20",0.785208963351131,1.81066439042576,0.14975261554728,3120.56449751255,0.2,2450.29521416217,984.718691391048,1.50888699202147,1485.82922424035
