stockid,B0_scalar,r,sigmaP,biomass_max,p,B0,bmsy,fmsy,msy
ACADRED2J3K,0.460321047,1.196187826,0.16881115,1060000,0.2,487940.3094,196092.2668,0.996823188,195469.3187
ACADRED3LNO-UT12,0.656250185,1.151175392,0.239069826,322000,0.2,211312.5595,84921.77835,0.959312827,81466.55127
ACADREDGOMGB,0.612084123,0.015189601,0.018972962,1968921.66,0.2,1205145.687,484321.0228,0.012658,6130.535719
ACADREDUT3,0.449369218,1.025979272,0.247154438,209000,0.2,93918.16655,37743.60474,0.854982727,32270.1301
ACMACKSARG,1.275880936,0.093580408,0.058486271,211000,0.2,269210.8774,108189.8138,0.077983674,8437.039125
AFLONCH,0.771136323,0.104560003,0.013817553,47900,0.2,36937.42988,14844.32464,0.087133336,1293.435522
ALBAIO,0.636987433,0.025044082,0.01763794,2449652.743,0.2,1560398.012,627088.9644,0.020870068,13087.38945
ALBAMED,0.999732539,0.295396983,0.007115447,331000,0.2,330911.4705,132985.8983,0.246164153,32736.36098
ALBANATL,1.17829752,0.101408002,0.005796377,923000,0.2,1087568.611,437069.4327,0.084506669,36935.28176
ALBANPAC,1.072804582,0.233018853,0.02324451,1210000,0.2,1298093.544,521674.6819,0.194182377,101300.03
ALBASATL,1.078375646,0.174551135,0.008365568,398000,0.2,429193.507,172483.2445,0.145459279,25089.28846
ALBASPAC,0.71671763,0.036537167,0.029279805,4783311.962,0.2,3428284.013,1377750.455,0.030447639,41949.24838
ALPLAICBSAI,1.603966209,0.041496046,0.020437925,766000,0.2,1228638.116,493762.1031,0.034580039,17074.31264
ALSKABSAI,1.016558822,0.091565975,0.022664747,6.00E+05,0.2,609935.2933,245119.3148,0.07630498,18703.82429
AMPL23K,0.276794407,0.098628923,0.09126181,332000,0.2,91895.74323,36930.83817,0.082190769,3035.373988
AMPL4T,0.018971913,0.016482324,0.044483584,918940.783,0.2,17434.06465,7006.359571,0.01373527,96.23424141
AMPL4VWX,1.167653073,0.143018719,0.125280438,97566.55227,0.2,113923.8846,45783.45413,0.119182266,5456.575794
AMPL5YZ,0.664777541,0.173336138,0.042097833,101016.5434,0.2,67153.52928,26987.4973,0.144446781,3898.257122
ANCHIXa,1.007935177,1.024649105,0.321503161,41119.53496,0.2,41445.82576,16656.14783,0.853874254,14222.2558
ANCHMEDGSA1,0.612904551,0.335122412,0.099158153,5644.748084,0.2,3459.691793,1390.372538,0.279268677,388.2874987
ANCHMEDGSA16,0.995438135,1.052963119,0.096338109,14700,0.2,14632.94058,5880.650634,0.877469265,5160.090192
ANCHMEDGSA17-18,0.38628152,0.049376384,0.077617764,2680000,0.2,1035234.474,416037.5167,0.041146987,17118.69017
ANCHMEDGSA20,0.785208963,1.81066439,0.149752616,3120.564498,0.2,2450.295214,984.7186914,1.508886992,1485.829224
ANCHMEDGSA22,1.222723285,1.074438865,0.12274209,46483.90695,0.2,56836.95538,22841.49763,0.895365721,20451.49398
ANCHMEDGSA29,1.00808314,0.455387871,0.125384421,1819729.806,0.2,1834438.937,737219.8661,0.379489892,279767.4876
ANCHMEDGSA6,1.148469093,0.573054821,0.045016463,68700,0.2,78899.82668,31708.07078,0.477545684,15142.05236
ANCHMEDGSA7,0.593469108,0.572976286,0.167952814,112000,0.2,66468.54004,26712.21549,0.477480238,12754.55501
ANCHMEDGSA9,2.118553862,0.329873312,0.135349177,17400,0.2,36862.83719,14814.34751,0.274894426,4072.381562
ANCHOBAYB,0.858731502,0.656258093,0.175098376,178254.4591,0.2,153072.7195,61516.49284,0.546881744,33642.2469
ANCHOSA,0.54129735,0.328515001,0.147337465,9260000,0.2,5012413.461,2014376.552,0.273762501,551460.7622
ANCHOWA,0.703767255,1.914763126,0.21765845,352000,0.2,247726.0736,99555.55299,1.595635939,158854.4182
ANGLMEDGSA5,2.228916687,0.530991666,0.056456377,47.7578694,0.2,106.4483121,42.7791892,0.442493055,18.92949411
ANGLMEDGSA6,1.108333595,1.250896232,0.110186615,1994.531023,0.2,2210.605739,888.3928671,1.042413527,926.072742
APOLLPJPN,1.40625985,0.327201148,0.076430429,1370000,0.2,1926575.994,774247.6828,0.272667623,211112.2754
ARFLOUNDBSAI,1.796411321,0.062015472,0.009192895,908000,0.2,1631141.48,655519.1776,0.05167956,33876.94253
ARFLOUNDGA,1.430580192,0.05376212,0.013937076,2110000,0.2,3018524.204,1213077.178,0.044801767,54348.00075
ARFLOUNDPCOAST,1.007015257,0.15286539,0.024034494,98000,0.2,98687.49516,39660.29094,0.127387825,5052.238191
ARGANCHONARG,0.582916901,0.226214132,0.109457368,5150000,0.2,3002022.042,1206445.329,0.188511776,227429.1521
