"source","sink","species","portion"
"United States","Bermuda","Coryphaena hippurus",5.41421193472914e-07
"United States","Bermuda","Epinephelus morio",0
"United States","Bermuda","Istiophorus albicans",0
"United States","Bermuda","Tetrapturus pfluegeri",0
"United States","Bermuda","Thunnus atlanticus",0.000262224576688953
"United States","Bermuda","Xiphias gladius",2.65151763447761e-08
"United States","Bermuda","Ablennes",0
"United States","Bermuda","Achirus",0
"United States","Bermuda","Albula",0
"United States","Bermuda","Ammodytes",0
"United States","Bermuda","Anchoviella",0
"United States","Bermuda","Anguilla",0
"United States","Bermuda","Anoplopoma",0
"United States","Bermuda","Argentina",0
"United States","Bermuda","Arius",0
"United States","Bermuda","Bathylagus",0
"United States","Bermuda","Belone",0
"United States","Bermuda","Beryx",0
"United States","Bermuda","Brevoortia",0
"United States","Bermuda","Caulolatilus",0
"United States","Bermuda","Centropomus",0
"United States","Bermuda","Chaetodipterus",0
"United States","Bermuda","Citharichthys",0
"United States","Bermuda","Clupea",0
"United States","Bermuda","Cololabis",0
"United States","Bermuda","Conger",0
"United States","Bermuda","Coryphaena",0
"United States","Bermuda","Coryphaenoides",0
"United States","Bermuda","Cyclopterus",0
"United States","Bermuda","Cypselurus",0
"United States","Bermuda","Dentex",0
"United States","Bermuda","Elops",0
"United States","Bermuda","Engraulis",0
"United States","Bermuda","Eopsetta",0
"United States","Bermuda","Epinephelus",0
"United States","Bermuda","Euthynnus",0
"United States","Bermuda","Fistularia",0
"United States","Bermuda","Gadus",0
"United States","Bermuda","Gymnothorax",2.95758011416811e-07
"United States","Bermuda","Helicolenus",0
"United States","Bermuda","Hemiramphus",0
"United States","Bermuda","Hyperoglyphe",0
"United States","Bermuda","Hypomesus",0
"United States","Bermuda","Istiophorus",0
"United States","Bermuda","Kajikia",0
"United States","Bermuda","Lepidion",0
"United States","Bermuda","Lepidopsetta",0
"United States","Bermuda","Limanda",0
"United States","Bermuda","Liza",0
"United States","Bermuda","Lobotes",0
"United States","Bermuda","Lophius",0
"United States","Bermuda","Lopholatilus",0
"United States","Bermuda","Lycodes",0
"United States","Bermuda","Macrourus",0
"United States","Bermuda","Makaira",0
"United States","Bermuda","Megalops",0
"United States","Bermuda","Melanogrammus",0
"United States","Bermuda","Merluccius",0
"United States","Bermuda","Microstomus",0
"United States","Bermuda","Molva",0
"United States","Bermuda","Mugil",0
"United States","Bermuda","Myripristis",0
"United States","Bermuda","Notolepis",0
"United States","Bermuda","Notoscopelus",0
"United States","Bermuda","Ophiodon",0
"United States","Bermuda","Pagrus",0
"United States","Bermuda","Paralichthys",0
"United States","Bermuda","Peprilus",0
"United States","Bermuda","Petromyzon",0
"United States","Bermuda","Phycis",0
"United States","Bermuda","Platichthys",0
"United States","Bermuda","Pollachius",0
"United States","Bermuda","Polydactylus",0
"United States","Bermuda","Polynemus",0
"United States","Bermuda","Polyprion",0
"United States","Bermuda","Pomatomus",0
"United States","Bermuda","Pontinus",0
"United States","Bermuda","Porichthys",0
"United States","Bermuda","Priacanthus",0
"United States","Bermuda","Psettichthys",0
"United States","Bermuda","Pseudopleuronectes",0
"United States","Bermuda","Rachycentron",0
"United States","Bermuda","Regalecus",0
"United States","Bermuda","Sarda",0
"United States","Bermuda","Sardinops",0
"United States","Bermuda","Scomber",1.68165080342627e-08
"United States","Bermuda","Sebastes",0
"United States","Bermuda","Sebastolobus",0
"United States","Bermuda","Serranus",0
"United States","Bermuda","Sphyraena",0
"United States","Bermuda","Spratelloides",0
"United States","Bermuda","Stereolepis",0
"United States","Bermuda","Tetrapturus",0
"United States","Bermuda","Theragra",0
"United States","Bermuda","Thunnus",0
"United States","Bermuda","Trachipterus",0
"United States","Bermuda","Trisopterus",0
"United States","Bermuda","Tylosurus",0
"United States","Bermuda","Urophycis",0
"United States","Bermuda","Xiphias",0
"United States","Bermuda","Ctenochaetus",0
"United States","Bermuda","Polymixia",0
"United States","Bermuda","Acipenser",0
"Panama","Bermuda","Anguilla",NA
"Panama","Bermuda","Coryphaena",NA
"Bermuda","Bermuda","Acanthocybium solandri",0.0129211391974442
"Bermuda","Bermuda","Auxis thazard",0
"Bermuda","Bermuda","Carcharhinus limbatus",0
"Bermuda","Bermuda","Carcharhinus longimanus",0
"Bermuda","Bermuda","Cephalopholis fulva",0
"Bermuda","Bermuda","Epinephelus guttatus",0.000772464074109825
"Bermuda","Bermuda","Epinephelus striatus",0
"Bermuda","Bermuda","Galeocerdo cuvier",1.64082148082469e-06
"Bermuda","Bermuda","Katsuwonus pelamis",1.28642023007248e-06
"Bermuda","Bermuda","Lamna nasus",0
"Bermuda","Bermuda","Lutjanus synagris",4.11565171610891e-05
"Bermuda","Bermuda","Negaprion brevirostris",0
"Bermuda","Bermuda","Prionace glauca",4.58194405597649e-06
"Bermuda","Bermuda","Sarda sarda",1.16118691437904e-06
"Bermuda","Bermuda","Tetrapturus pfluegeri",0
"Bermuda","Bermuda","Thunnus obesus",3.983040468658e-07
"Bermuda","Bermuda","Xiphias gladius",1.69291148720011e-05
"Bermuda","Bermuda","Acanthocybium",0
"Bermuda","Bermuda","Achirus",0
"Bermuda","Bermuda","Anguilla",0
"Bermuda","Bermuda","Apristurus",0
"Bermuda","Bermuda","Auxis",0
"Bermuda","Bermuda","Boops",0
"Bermuda","Bermuda","Brosme",0
"Bermuda","Bermuda","Carcharhinus",0
"Bermuda","Bermuda","Cephalopholis",0
"Bermuda","Bermuda","Cetorhinus",0
"Bermuda","Bermuda","Coryphaena",0
"Bermuda","Bermuda","Coryphaenoides",0
"Bermuda","Bermuda","Cyclopterus",0
"Bermuda","Bermuda","Dentex",0
"Bermuda","Bermuda","Epinephelus",0
"Bermuda","Bermuda","Etmopterus",0
"Bermuda","Bermuda","Euthynnus",0
"Bermuda","Bermuda","Galeocerdo",0
"Bermuda","Bermuda","Galeus",0
"Bermuda","Bermuda","Hemiramphus",0
"Bermuda","Bermuda","Holocentrus",0
"Bermuda","Bermuda","Isurus",5.04226661526815e-06
"Bermuda","Bermuda","Katsuwonus",0
"Bermuda","Bermuda","Lamna",0
"Bermuda","Bermuda","Lophius",0
"Bermuda","Bermuda","Lutjanus",0
"Bermuda","Bermuda","Macrourus",0
"Bermuda","Bermuda","Melanogrammus",0
"Bermuda","Bermuda","Merluccius",0
"Bermuda","Bermuda","Molva",0
"Bermuda","Bermuda","Mustelus",0
"Bermuda","Bermuda","Mycteroperca",0
"Bermuda","Bermuda","Negaprion",0
"Bermuda","Bermuda","Notoscopelus",0
"Bermuda","Bermuda","Petromyzon",0
"Bermuda","Bermuda","Phycis",0
"Bermuda","Bermuda","Pollachius",0
"Bermuda","Bermuda","Prionace",0
"Bermuda","Bermuda","Rhizoprionodon",0
"Bermuda","Bermuda","Sarda",0
"Bermuda","Bermuda","Scarus",0
"Bermuda","Bermuda","Scomber",2.08221953312835e-05
"Bermuda","Bermuda","Scyliorhinus",0
"Bermuda","Bermuda","Serranus",0
"Bermuda","Bermuda","Sparisoma",0
"Bermuda","Bermuda","Sprattus",0
"Bermuda","Bermuda","Squalus",0
"Bermuda","Bermuda","Tetrapturus",0
"Bermuda","Bermuda","Thunnus",0
"Bermuda","Bermuda","Trisopterus",0
"Bermuda","Bermuda","Urophycis",0
"Bermuda","Bermuda","Xiphias",0
"Mexico","Bermuda","Coryphaena hippurus",4.99875519724808e-09
"Mexico","Bermuda","Xiphias gladius",2.71814118642777e-10
"Mexico","Bermuda","Anguilla",0
"Mexico","Bermuda","Argentina",0
"Mexico","Bermuda","Bathylagus",0
"Mexico","Bermuda","Centropomus",0
"Mexico","Bermuda","Coryphaena",0
"Mexico","Bermuda","Coryphaenoides",0
"Mexico","Bermuda","Cypselurus",0
"Mexico","Bermuda","Eucinostomus",0
"Mexico","Bermuda","Fistularia",0
"Mexico","Bermuda","Gerres",0
"Mexico","Bermuda","Hemiramphus",0
"Mexico","Bermuda","Hypomesus",0
"Mexico","Bermuda","Istiophorus",0
"Mexico","Bermuda","Lepidion",0
"Mexico","Bermuda","Macrourus",0
"Mexico","Bermuda","Megalops",0
"Mexico","Bermuda","Notolepis",0
"Mexico","Bermuda","Notoscopelus",0
"Mexico","Bermuda","Porichthys",0
"Mexico","Bermuda","Rachycentron",0
"Mexico","Bermuda","Regalecus",0
"Mexico","Bermuda","Trisopterus",0
"Mexico","Bermuda","Xiphias",0
"Mexico","Bermuda","Sectator",0
"Bahamas","Bermuda","Tetrapturus pfluegeri",0
"Bahamas","Bermuda","Xiphias gladius",1.05371306300002e-07
"Bahamas","Bermuda","Albula",0
"Bahamas","Bermuda","Anguilla",0
"Bahamas","Bermuda","Belone",0
"Bahamas","Bermuda","Coryphaena",0
"Bahamas","Bermuda","Dentex",0
"Bahamas","Bermuda","Hemiramphus",0
"Bahamas","Bermuda","Macrourus",0
"Bahamas","Bermuda","Merluccius",0
"Bahamas","Bermuda","Tetrapturus",0
"Bahamas","Bermuda","Trisopterus",0
"Bahamas","Bermuda","Tylosurus",0
"Bahamas","Bermuda","Xiphias",0
"Cuba","Bermuda","Coryphaena hippurus",9.69250160279629e-08
"Cuba","Bermuda","Istiophorus albicans",0
"Cuba","Bermuda","Tetrapturus pfluegeri",0
"Cuba","Bermuda","Xiphias gladius",1.51524853596109e-08
"Cuba","Bermuda","Albula",0
"Cuba","Bermuda","Anguilla",0
"Cuba","Bermuda","Centropomus",0
"Cuba","Bermuda","Coryphaena",0
"Cuba","Bermuda","Gerres",0
"Cuba","Bermuda","Hemiramphus",0
"Cuba","Bermuda","Istiophorus",0
"Cuba","Bermuda","Liza",0
"Cuba","Bermuda","Macrourus",0
"Cuba","Bermuda","Makaira",0
"Cuba","Bermuda","Merluccius",0
"Cuba","Bermuda","Mugil",0
"Cuba","Bermuda","Sphyraena",0
"Cuba","Bermuda","Tetrapturus",0
"Cuba","Bermuda","Trichiurus",0
"Cuba","Bermuda","Trisopterus",0
"Cuba","Bermuda","Xiphias",0
"Turks and Caicos Islands","Bermuda","Anguilla",NA
"Turks and Caicos Islands","Bermuda","Coryphaena",NA
"Cayman Islands","Bermuda","Anguilla",NA
"Cayman Islands","Bermuda","Coryphaena",NA
"Dominican Republic","Bermuda","Anguilla",NA
"Dominican Republic","Bermuda","Coryphaena",NA
"Puerto Rico","Bermuda","Anguilla",NA
"Puerto Rico","Bermuda","Coryphaena",NA
"British Virgin Islands","Bermuda","Anguilla",NA
"British Virgin Islands","Bermuda","Coryphaena",NA
"Anguilla","Bermuda","Anguilla",NA
"Anguilla","Bermuda","Coryphaena",NA
