stockid,scientificname,commonname,ram_region,primary_country,year,status_bio,status_f,shared_eez,n_eez,shared_larval,n_larval,num_eezs_cutoff0,num_eezs_cutoff5,num_eezs_cutoff10,num_eezs_cutoff15,num_eezs_cutoff20,num_eezs_cutoff25,r,B0,AspectRatio,age_50_mat,max_length,national,multiple_cs_progs,IQ,ITQ,IVQ,Coop,CommunityQuota,TURF,RBP,pred_real_price,pred_nominal_price
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1952,4.32,0.0341,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,3582.653874,393.9852232
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1953,4.38,0.0322,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,3562.548728,396.9945524
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1954,4.43,0.0244,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,3698.0469,433.8051062
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1955,4.5,0.0353,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,3745.739296,459.9628018
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1956,4.69,0.0391,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,3817.172715,493.5881622
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1957,4.86,0.0535,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,3840.243369,512.2233903
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1958,4.57,0.0736,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,3880.540482,538.1729019
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1959,4.16,0.0678,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,3934.326008,568.7321026
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1960,3.79,0.0756,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,3921.691548,576.4857792
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1961,3.41,0.0736,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,4040.773553,634.3401727
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1962,3.23,0.069,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,4032.493281,647.762646
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1963,3.07,0.0857,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,4070.288766,668.718495
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1964,2.94,0.0632,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,4083.297336,678.3118638
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1965,2.89,0.0632,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,4108.453597,694.8718175
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1966,2.8,0.0659,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,4196.184924,746.294075
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1967,2.71,0.0767,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,4212.635124,772.1835864
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1968,2.68,0.0601,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,4197.136704,778.8199161
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1969,2.66,0.0702,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,4254.664006,820.6641844
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1970,2.58,0.0942,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,4279.888975,857.5225263
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1971,2.56,0.0992,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,4342.65499,907.386168
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1972,2.54,0.116,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,4450.049689,999.4062915
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1973,2.37,0.105,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,4658.062334,1144.18952
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1974,2.35,0.128,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,5129.035169,1430.300283
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1975,2.36,0.136,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,5137.074139,1427.109654
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1976,2.32,0.137,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,5342.039637,1614.34299
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1977,2.48,0.173,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,5416.32542,1736.979578
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1978,2.56,0.15,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,5484.968833,1875.88876
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1979,2.51,0.196,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,5745.194045,2067.081554
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1980,2.3,0.184,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,6086.456015,2405.000226
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1981,2.07,0.183,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,5994.102956,2439.676979
BIGEYECWPAC,Thunnus obesus,Bigeye tuna,Pacific Ocean,Japan,1982,2.06,0.198,1,37,1,202,37,1,0,0,0,0,0.112462525525435,2732964.69183171,6.742999871571858,3,250,0,0,0,0,0,0,0,0,0,5941.424561,2514.261596
