stockid,scientificname,commonname,ram_region,primary_country,year,status_bio,status_f,shared_eez,n_eez,shared_larval,n_larval,num_eezs_cutoff0,num_eezs_cutoff5,num_eezs_cutoff10,num_eezs_cutoff15,num_eezs_cutoff20,num_eezs_cutoff25,r,B0,age_50_mat,max_length,national,multiple_cs_progs,IQ,ITQ,IVQ,Coop,CommunityQuota,TURF,RBP,pred_real_price,pred_nominal_price
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1976,0.709923507,0.462068966,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,0,0,0,0,0,0,0,0,0,218.1770036,59.65620092
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1977,0.656857093,0.286206897,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,0,0,0,0,0,0,0,0,0,219.5662101,63.84784281
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1978,0.662256905,0.24137931,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,0,0,0,0,0,0,0,0,0,222.6002001,64.70625341
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1979,0.700992454,0.320689655,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,0,0,0,0,0,0,0,0,0,233.2693511,75.89562894
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1980,0.734544388,0.4,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,0,0,0,0,0,0,0,0,0,242.9233292,86.86927425
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1981,0.744139479,0.372413793,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,0,0,0,0,0,0,0,0,0,240.6757592,89.41106447
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1982,0.744329939,0.24137931,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,0,0,0,0,0,0,0,0,0,237.467621,89.75383572
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1983,0.764935707,0.279310345,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,0,0,0,0,0,0,0,0,0,234.2882536,91.44818237
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1984,0.78350818,0.179310345,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,0,0,0,0,0,0,0,0,0,235.1293625,93.16938427
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1985,0.822465074,0.131034483,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,0,0,0,0,0,0,0,0,0,233.4827775,90.06864686
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1986,0.875963885,0.117241379,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,0,0,0,0,0,0,0,0,0,214.2269853,83.15810342
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1987,0.941250656,0.072413793,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,0,0,0,0,0,0,0,0,0,220.5848545,90.92928485
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1988,1.025454789,0.275862069,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,0,0,0,0,0,0,0,0,0,216.0026348,89.4157296
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1989,1.05090443,0.096551724,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,0,0,0,0,0,0,0,0,0,220.4757278,101.2049792
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1990,1.116819207,0.15862069,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,0,0,0,0,0,0,0,0,0,228.5860214,109.5564459
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1991,1.178693132,0.255172414,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,0,0,0,0,0,0,0,0,0,222.3849942,113.8100426
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1992,1.233087622,0.110344828,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,0,0,0,0,0,1,1,0,0,224.0280465,115.0262858
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1993,1.354951458,0.089655172,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,0,0,0,0,0,1,1,0,0,218.4992888,117.4187192
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1994,1.512158587,0.12413793100000001,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,0,0,0,0,0,1,1,0,0,214.8305422,122.2977293
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1995,1.651472723,0.075862069,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,0,0,0,0,0,1,1,0,0,216.3333892,129.528303
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1996,1.779951201,0.113793103,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,1,0,0,0,0,1,1,0,0,224.2920673,139.6891755
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1997,1.850534834,0.075862069,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,1,0,0,0,0,1,1,0,0,223.6833614,138.1150195
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1998,1.910179856,0.113793103,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,1,0,0,0,0,1,1,0,0,207.824316,132.3897585
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1999,1.933714598,0.079310345,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,1,0,0,0,0,1,1,0,0,219.5402111,147.2437512
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,2000,1.963313189,0.096551724,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,1,0,0,0,0,1,1,0,0,236.4558901,169.6792353
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,2001,1.985195557,0.103448276,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,1,0,0,0,0,1,1,0,0,228.9575118,170.402181
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,2002,2.016600949,0.082758621,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,1,0,0,0,0,1,1,0,0,229.0585832,175.7881877
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,2003,2.078093954,0.089655172,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,1,0,0,0,0,1,1,0,0,234.1540018,181.4145578
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,2004,2.152548567,0.117241379,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,1,0,0,0,0,1,1,0,0,240.5073842,197.2460119
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,2005,2.22328148,0.086206897,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,1,0,0,0,0,1,1,0,0,251.3106958,212.4488587
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,2006,2.32111126,0.079310345,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,1,0,0,0,0,1,1,0,0,254.8360921,227.950227
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,2007,2.420166164,0.062068966,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,1,0,0,0,0,1,1,0,0,260.4681325,239.8757934
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,2008,2.527555002,0.086206897,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,1,0,0,0,0,1,1,0,0,272.8628859,262.0710069
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,2009,2.604202485,0.089655172,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,1,0,0,0,0,1,1,0,0,253.7946972,239.1966831
ARFLOUNDBSAI,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,2010,2.644976476,0.075862069,1,2,1,2,2,1,1,1,1,1,0.0620154717563204,1631141.47991643,5.5,84,1,0,0,0,0,1,1,0,0,266.2168644,267.8196472
ARFLOUNDGA,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1961,0.778228883,0.002597520255536792,1,2,1,2,2,1,1,1,1,1,0.0537621200597435,3018524.20440778,5.5,84,0,0,0,0,0,0,0,0,0,179.5331762,23.46662735
ARFLOUNDGA,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1962,0.754142732,0.0026804810299972132,1,2,1,2,2,1,1,1,1,1,0.0537621200597435,3018524.20440778,5.5,84,0,0,0,0,0,0,0,0,0,178.8374498,25.06181918
ARFLOUNDGA,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1963,0.73029557,0.002768009789565439,1,2,1,2,2,1,1,1,1,1,0.0537621200597435,3018524.20440778,5.5,84,0,0,0,0,0,0,0,0,0,176.9584669,27.60304791
ARFLOUNDGA,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1964,0.708717373,0.005933576,1,2,1,2,2,1,1,1,1,1,0.0537621200597435,3018524.20440778,5.5,84,0,0,0,0,0,0,0,0,0,181.5067062,28.88257733
ARFLOUNDGA,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1965,0.690902547,0.005845015,1,2,1,2,2,1,1,1,1,1,0.0537621200597435,3018524.20440778,5.5,84,0,0,0,0,0,0,0,0,0,181.1023463,30.10631928
ARFLOUNDGA,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1966,0.677317554,0.027675261,1,2,1,2,2,1,1,1,1,1,0.0537621200597435,3018524.20440778,5.5,84,0,0,0,0,0,0,0,0,0,185.3451439,30.78894141
ARFLOUNDGA,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1967,0.66297528,0.02541696,1,2,1,2,2,1,1,1,1,1,0.0537621200597435,3018524.20440778,5.5,84,0,0,0,0,0,0,0,0,0,185.8431933,30.88348029
ARFLOUNDGA,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1968,0.651754272,0.018863458,1,2,1,2,2,1,1,1,1,1,0.0537621200597435,3018524.20440778,5.5,84,0,0,0,0,0,0,0,0,0,184.6058709,32.62442613
ARFLOUNDGA,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1969,0.643576786,0.014523977,1,2,1,2,2,1,1,1,1,1,0.0537621200597435,3018524.20440778,5.5,84,0,0,0,0,0,0,0,0,0,186.7764167,32.96951873
ARFLOUNDGA,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1970,0.637792079,0.020546114,1,2,1,2,2,1,1,1,1,1,0.0537621200597435,3018524.20440778,5.5,84,0,0,0,0,0,0,0,0,0,185.9205193,34.07555116
ARFLOUNDGA,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1971,0.63287119,0.01270848,1,2,1,2,2,1,1,1,1,1,0.0537621200597435,3018524.20440778,5.5,84,0,0,0,0,0,0,0,0,0,187.1814397,34.7537263
ARFLOUNDGA,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1972,0.632128306,0.045166027,1,2,1,2,2,1,1,1,1,1,0.0537621200597435,3018524.20440778,5.5,84,0,0,0,0,0,0,0,0,0,186.8853843,37.34806256
ARFLOUNDGA,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1973,0.62619099,0.092988879,1,2,1,2,2,1,1,1,1,1,0.0537621200597435,3018524.20440778,5.5,84,0,0,0,0,0,0,0,0,0,193.7355979,41.76735374
ARFLOUNDGA,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1974,0.609850415,0.040560863,1,2,1,2,2,1,1,1,1,1,0.0537621200597435,3018524.20440778,5.5,84,0,0,0,0,0,0,0,0,0,209.9340176,50.92783661
ARFLOUNDGA,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1975,0.610979139,0.019749067,1,2,1,2,2,1,1,1,1,1,0.0537621200597435,3018524.20440778,5.5,84,0,0,0,0,0,0,0,0,0,216.5233721,56.33179118
ARFLOUNDGA,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1976,0.639338315,0.019527664,1,2,1,2,2,1,1,1,1,1,0.0537621200597435,3018524.20440778,5.5,84,0,0,0,0,0,0,0,0,0,218.1770036,59.65620092
ARFLOUNDGA,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1977,0.703448077,0.054464915,1,2,1,2,2,1,1,1,1,1,0.0537621200597435,3018524.20440778,5.5,84,0,0,0,0,0,0,0,0,0,219.5662101,63.84784281
ARFLOUNDGA,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1978,0.793964785,0.045166027,1,2,1,2,2,1,1,1,1,1,0.0537621200597435,3018524.20440778,5.5,84,0,0,0,0,0,0,0,0,0,222.6002001,64.70625341
ARFLOUNDGA,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1979,0.928740696,0.038612525,1,2,1,2,2,1,1,1,1,1,0.0537621200597435,3018524.20440778,5.5,84,0,0,0,0,0,0,0,0,0,233.2693511,75.89562894
ARFLOUNDGA,Atheresthes stomias,Arrowtooth flounder,US Alaska,United States,1980,1.080833297,0.037948319,1,2,1,2,2,1,1,1,1,1,0.0537621200597435,3018524.20440778,5.5,84,0,0,0,0,0,0,0,0,0,242.9233292,86.86927425
